"Machine no.";"Cycle counter";"Time";"Step";"Phase";"Message no.";"Message";"T1 °C";"T2 °C";"P1 mbar a";"P2 mbar a";"P3 mbar a";"P4 mbar a";"Zone no."
1;652;"12:05:21";"";"Exhaust";;"";92.0;95.0;109;116;3182;4126;1
1;652;"12:05:29";"";"Dry";;"";92.0;95.0;100;108;3174;4128;1
1;652;"12:05:39";"";"Dry";;"";92.0;95.0;92;102;3192;4130;1
1;652;"12:05:49";"";"Dry";;"";92.0;95.0;86;94;3179;4131;1
1;652;"12:06:00";"";"Dry";;"";92.0;95.0;79;88;3203;4120;1
1;652;"12:06:10";"";"Dry";;"";91.0;95.0;75;84;3182;4131;1
1;652;"12:06:21";"";"Dry";;"";91.0;95.0;72;79;3172;4128;1
1;652;"12:06:31";"";"Dry";;"";91.0;95.0;68;77;3188;4120;1
1;652;"12:06:41";"";"Dry";;"";91.0;95.0;65;74;3177;4131;1
1;652;"12:06:51";"";"Dry";;"";91.0;95.0;63;72;3194;4137;1
1;652;"12:07:01";"";"Dry";;"";91.0;94.0;61;69;3179;4128;1
1;652;"12:07:11";"";"Dry";;"";91.0;94.0;60;68;3228;4135;1
1;652;"12:07:21";"";"Dry";;"";91.0;94.0;58;68;3183;4131;1
1;652;"12:07:31";"";"Dry";;"";90.0;94.0;56;64;3172;4133;1
1;652;"12:07:42";"";"Dry";;"";90.0;94.0;55;64;3190;4131;1
1;652;"12:07:52";"";"Dry";;"";90.0;94.0;54;63;3177;4130;1
1;652;"12:08:02";"";"Dry";;"";90.0;94.0;54;63;3197;4135;1
1;652;"12:08:12";"";"Dry";;"";90.0;94.0;52;61;3181;4131;1
1;652;"12:08:22";"";"Dry";;"";90.0;94.0;51;59;3172;4080;1
1;652;"12:08:29";"";"Air break";;"";89.0;94.0;51;61;3190;4135;1
1;652;"12:08:39";"";"Air break";;"";88.0;92.0;141;148;3177;4133;1
1;652;"12:08:50";"";"Air break";;"";85.0;89.0;272;277;3194;4144;1
1;652;"12:09:00";"";"Air break";;"";82.0;86.0;401;404;3178;4139;1
1;652;"12:09:10";"";"Air break";;"";80.0;84.0;525;528;3194;4137;1
1;652;"12:09:20";"";"Air break";;"";78.0;81.0;642;643;3179;4135;1
1;652;"12:09:31";"";"Air break";;"";76.0;79.0;754;754;3196;4139;1
1;652;"12:09:41";"";"Air break";;"";74.0;77.0;840;841;3179;4135;1
1;652;"12:09:51";"";"Air break";;"";72.0;75.0;905;906;3204;4109;1
1;652;"12:10:02";"";"Air break";;"";71.0;73.0;944;946;3181;4137;1
1;652;"12:10:12";"";"Air break";;"";69.0;71.0;966;968;3242;4131;1
1;652;"12:10:18";"";"Complete";;"";68.0;70.0;971;974;3191;4137;1
